soc,name,group,employment,projected,growth,change,exits,transfers,annualChange,openings,education,wage,onet,geography,employment_base_year,projection_year,wage_year,retrieved,source_url
11-1021,General and Operations Managers,Management,106314.0,110314.0,3.76,4000.0,2508.0,5836.0,400.0,8744.0,Bachelor's degree,155020.0,11-1021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-2011,Advertising and Promotions Managers,Management,483.0,456.0,-5.59,-27.0,11.0,26.0,-3.0,34.0,Bachelor's degree,165890.0,11-2011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-2021,Marketing Managers,Management,13876.0,14246.0,2.67,370.0,295.0,764.0,37.0,1096.0,Bachelor's degree,213230.0,11-2021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-2022,Sales Managers,Management,14083.0,14407.0,2.3,324.0,324.0,712.0,32.0,1068.0,Bachelor's degree,201180.0,11-2022.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-2032,Public Relations Managers,Management,2555.0,2636.0,3.17,81.0,60.0,129.0,8.0,197.0,Bachelor's degree,181950.0,11-2032.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-2033,Fundraising Managers,Management,2020.0,2141.0,5.99,121.0,48.0,103.0,12.0,163.0,Bachelor's degree,165860.0,11-2033.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3012,Administrative Services Managers,Management,9420.0,9777.0,3.79,357.0,308.0,451.0,36.0,795.0,Bachelor's degree,128110.0,11-3012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3013,Facilities Managers,Management,5808.0,6053.0,4.22,245.0,222.0,262.0,24.0,508.0,Bachelor's degree,131200.0,11-3013.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3021,Computer and Information Systems Managers,Management,25672.0,28089.0,9.41,2417.0,489.0,1211.0,242.0,1942.0,Bachelor's degree,218740.0,11-3021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3031,Financial Managers,Management,28223.0,31441.0,11.4,3218.0,747.0,1226.0,322.0,2295.0,Bachelor's degree,218230.0,11-3031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3051,Industrial Production Managers,Management,5005.0,5119.0,2.28,114.0,121.0,224.0,11.0,356.0,Bachelor's degree,162230.0,11-3051.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3061,Purchasing Managers,Management,2353.0,2423.0,2.97,70.0,64.0,109.0,7.0,180.0,Bachelor's degree,179070.0,11-3061.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3071,"Transportation, Storage, and Distribution Managers",Management,4303.0,4730.0,9.92,427.0,114.0,234.0,43.0,391.0,High school diploma or equivalent,139330.0,11-3071.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3111,Compensation and Benefits Managers,Management,675.0,664.0,-1.63,-11.0,19.0,27.0,-1.0,45.0,Bachelor's degree,196100.0,11-3111.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3121,Human Resources Managers,Management,6689.0,6896.0,3.09,207.0,169.0,331.0,21.0,521.0,Bachelor's degree,195110.0,11-3121.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3131,Training and Development Managers,Management,1170.0,1209.0,3.33,39.0,29.0,60.0,4.0,93.0,Bachelor's degree,,11-3131.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Management,6943.0,7562.0,8.92,619.0,515.0,241.0,62.0,818.0,High school diploma or equivalent,,11-9013.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9021,Construction Managers,Management,13732.0,15231.0,10.92,1499.0,356.0,704.0,150.0,1210.0,Bachelor's degree,155900.0,11-9021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9031,"Education and Childcare Administrators, Preschool and Daycar",Management,2276.0,2097.0,-7.86,-179.0,53.0,88.0,-18.0,123.0,Bachelor's degree,72890.0,11-9031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9032,"Education Administrators, Kindergarten through Secondary",Management,10178.0,10392.0,2.1,214.0,249.0,415.0,21.0,685.0,Master's degree,126350.0,11-9032.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9033,"Education Administrators, Postsecondary",Management,9385.0,9899.0,5.48,514.0,233.0,389.0,51.0,673.0,Master's degree,144110.0,11-9033.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9039,"Education Administrators, All Other",Management,1043.0,1112.0,6.62,69.0,26.0,44.0,7.0,77.0,Bachelor's degree,106670.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9041,Architectural and Engineering Managers,Management,8082.0,8088.0,0.07,6.0,176.0,336.0,1.0,513.0,Bachelor's degree,203040.0,11-9041.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9051,Food Service Managers,Management,5628.0,5959.0,5.88,331.0,202.0,430.0,33.0,665.0,High school diploma or equivalent,91810.0,11-9051.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
