soc,onet_soc,occupation,skill,importance_1_to_5,rating_date,onet_version,source_url
11-1021,11-1021.00,General and Operations Managers,Active Listening,4.0,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Monitoring,4.0,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Reading Comprehension,4.0,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Speaking,4.0,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Coordination,3.88,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Critical Thinking,3.88,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Management of Personnel Resources,3.75,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Social Perceptiveness,3.75,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Active Learning,3.62,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Complex Problem Solving,3.62,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Judgment and Decision Making,3.62,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Persuasion,3.62,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Time Management,3.62,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Negotiation,3.5,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Writing,3.5,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Service Orientation,3.25,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Management of Material Resources,3.12,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Systems Analysis,3.12,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Systems Evaluation,3.12,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Instructing,3.0,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Learning Strategies,3.0,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Management of Financial Resources,3.0,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Mathematics,2.62,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Operations Analysis,2.5,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Quality Control Analysis,2.38,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Operations Monitoring,2.25,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Operation and Control,1.88,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Troubleshooting,1.75,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Programming,1.5,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Science,1.5,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Technology Design,1.5,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Equipment Maintenance,1.0,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Equipment Selection,1.0,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Installation,1.0,08/2023,31.0,https://www.onetcenter.org/database.html
11-1021,11-1021.00,General and Operations Managers,Repairing,1.0,08/2023,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Active Listening,4.12,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Speaking,4.12,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Critical Thinking,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Judgment and Decision Making,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
