"Occupation Projections in Massachusetts"

"SOC Code","Occupation Title","Employment 2024","Employment 2034","Numeric Change","Percent Change","Annual Exits","Annual Transfers"," Annual Projection Change","Annual Openings","Typical education needed for entry","2025 Mean Annual OES Wage"
"000000    ","Total, All Occupations","3,847,645","3,986,105","138,460","3.60 %","177,910","223,462","13,846","415,218","No formal educational credential","$85,610"
"111021    ","General and Operations Managers","106,314","110,314","4,000","3.76 %","2,508","5,836","400","8,744","Bachelor's degree","$155,020"
"112011    ","Advertising and Promotions Managers","483","456","-27","-5.59 %","11","26","-3","34","Bachelor's degree","$165,890"
"112021    ","Marketing Managers","13,876","14,246","370","2.67 %","295","764","37","1,096","Bachelor's degree","$213,230"
"112022    ","Sales Managers","14,083","14,407","324","2.30 %","324","712","32","1,068","Bachelor's degree","$201,180"
"112032    ","Public Relations Managers","2,555","2,636","81","3.17 %","60","129","8","197","Bachelor's degree","$181,950"
"112033    ","Fundraising Managers","2,020","2,141","121","5.99 %","48","103","12","163","Bachelor's degree","$165,860"
"113012    ","Administrative Services Managers","9,420","9,777","357","3.79 %","308","451","36","795","Bachelor's degree","$128,110"
"113013    ","Facilities Managers","5,808","6,053","245","4.22 %","222","262","24","508","Bachelor's degree","$131,200"
"113021    ","Computer and Information Systems Managers","25,672","28,089","2,417","9.41 %","489","1,211","242","1,942","Bachelor's degree","$218,740"
"113031    ","Financial Managers","28,223","31,441","3,218","11.40 %","747","1,226","322","2,295","Bachelor's degree","$218,230"
"113051    ","Industrial Production Managers","5,005","5,119","114","2.28 %","121","224","11","356","Bachelor's degree","$162,230"
"113061    ","Purchasing Managers","2,353","2,423","70","2.97 %","64","109","7","180","Bachelor's degree","$179,070"
"113071    ","Transportation, Storage, and Distribution Managers","4,303","4,730","427","9.92 %","114","234","43","391","High school diploma or equivalent","$139,330"
"113111    ","Compensation and Benefits Managers","675","664","-11","-1.63 %","19","27","-1","45","Bachelor's degree","$196,100"
"113121    ","Human Resources Managers","6,689","6,896","207","3.09 %","169","331","21","521","Bachelor's degree","$195,110"
"113131    ","Training and Development Managers","1,170","1,209","39","3.33 %","29","60","4","93","Bachelor's degree","***"
"119013    ","Farmers, Ranchers, and Other Agricultural Managers","6,943","7,562","619","8.92 %","515","241","62","818","High school diploma or equivalent","***"
"119021    ","Construction Managers","13,732","15,231","1,499","10.92 %","356","704","150","1,210","Bachelor's degree","$155,900"
"119031    ","Education and Childcare Administrators, Preschool and Daycar","2,276","2,097","-179","-7.86 %","53","88","-18","123","Bachelor's degree","$72,890"
"119032    ","Education Administrators, Kindergarten through Secondary","10,178","10,392","214","2.10 %","249","415","21","685","Master's degree","$126,350"
